"TimeGenerated [UTC]","ContainerImage_s","ContainerName_s","RevisionName_s","Log_s"
"1/6/2026, 11:11:04.623 PM","autotraderbinance.azurecr.io/autotrader:a59cce33d9786d86c1157c05d08fa7128c051f84",autotrader,"autotrader--0000053","2026-01-06 23:11:03 - llmtrader.live - ERROR - 에러 | type=ACCOUNT_UPDATE_ERROR, message=Failed to update account info: Binance API error: 400 GET /fapi/v2/account | payload={'code': -1021, 'msg': 'Timestamp for this request is outside of the recvWindow.'}, symbol=BTCUSDT"
"1/7/2026, 5:44:40.665 AM","autotraderbinance.azurecr.io/autotrader:a59cce33d9786d86c1157c05d08fa7128c051f84",autotrader,"autotrader--0000053","2026-01-07 05:44:39 - llmtrader.live - ERROR - 에러 | type=ACCOUNT_UPDATE_ERROR, message=Failed to update account info: Binance API error: 400 GET /fapi/v2/account | payload={'code': -1021, 'msg': 'Timestamp for this request is outside of the recvWindow.'}, symbol=BTCUSDT"
"1/7/2026, 5:44:38.678 AM","autotraderbinance.azurecr.io/autotrader:a59cce33d9786d86c1157c05d08fa7128c051f84",autotrader,"autotrader--0000053","2026-01-07 05:44:37 - llmtrader.live - ERROR - 에러 | type=ACCOUNT_UPDATE_ERROR, message=Failed to update account info: Binance API error: 418 GET /fapi/v2/account | IP banned until 2026-01-07T05:59:46.136000, symbol=BTCUSDT"
"1/7/2026, 4:56:02.592 AM","autotraderbinance.azurecr.io/autotrader:a59cce33d9786d86c1157c05d08fa7128c051f84",autotrader,"autotrader--0000053","2026-01-07 04:56:01 - llmtrader.live - ERROR - 에러 | type=ACCOUNT_UPDATE_ERROR, message=Failed to update account info: Binance API error: 400 GET /fapi/v2/account | payload={'code': -1021, 'msg': 'Timestamp for this request is outside of the recvWindow.'}, symbol=BTCUSDT"
"1/7/2026, 5:51:58.620 AM","autotraderbinance.azurecr.io/autotrader:a59cce33d9786d86c1157c05d08fa7128c051f84",autotrader,"autotrader--0000053","2026-01-07 05:51:57 - llmtrader.live - ERROR - 에러 | type=ACCOUNT_UPDATE_ERROR, message=Failed to update account info: Binance API error: 418 GET /fapi/v2/account | IP banned until 2026-01-07T05:57:46.126000, symbol=BTCUSDT"
"1/7/2026, 5:52:58.543 AM","autotraderbinance.azurecr.io/autotrader:a59cce33d9786d86c1157c05d08fa7128c051f84",autotrader,"autotrader--0000053","2026-01-07 05:52:57 - llmtrader.live - ERROR - 에러 | type=ACCOUNT_UPDATE_ERROR, message=Failed to update account info: Binance API error: 400 GET /fapi/v2/account | payload={'code': -1021, 'msg': 'Timestamp for this request is outside of the recvWindow.'}, symbol=BTCUSDT"
"1/7/2026, 5:52:58.543 AM","autotraderbinance.azurecr.io/autotrader:a59cce33d9786d86c1157c05d08fa7128c051f84",autotrader,"autotrader--0000053","2026-01-07 05:52:58 - llmtrader.live - ERROR - 에러 | type=ACCOUNT_UPDATE_ERROR, message=Failed to update account info: Binance API error: 400 GET /fapi/v2/account | payload={'code': -1021, 'msg': 'Timestamp for this request is outside of the recvWindow.'}, symbol=BTCUSDT"
"1/7/2026, 5:54:48.568 AM","autotraderbinance.azurecr.io/autotrader:a59cce33d9786d86c1157c05d08fa7128c051f84",autotrader,"autotrader--0000053","2026-01-07 05:54:48 - llmtrader.live - ERROR - 에러 | type=ACCOUNT_UPDATE_ERROR, message=Failed to update account info: Binance API error: 418 GET /fapi/v2/account | IP banned until 2026-01-07T05:57:46.126000, symbol=BTCUSDT"
"1/7/2026, 6:00:11.586 AM","autotraderbinance.azurecr.io/autotrader:a59cce33d9786d86c1157c05d08fa7128c051f84",autotrader,"autotrader--0000053","2026-01-07 06:00:10 - llmtrader.live - ERROR - 에러 | type=ACCOUNT_UPDATE_ERROR, message=Failed to update account info: Binance API error: 400 GET /fapi/v2/account | payload={'code': -1021, 'msg': 'Timestamp for this request is outside of the recvWindow.'}, symbol=BTCUSDT"
"1/7/2026, 7:57:03.769 PM","autotraderbinance.azurecr.io/autotrader:a59cce33d9786d86c1157c05d08fa7128c051f84",autotrader,"autotrader--0000053","2026-01-07 19:57:02 - llmtrader.live - ERROR - 에러 | type=ACCOUNT_UPDATE_ERROR, message=Failed to update account info: Binance API error: 400 GET /fapi/v2/account | payload={'code': -1021, 'msg': 'Timestamp for this request is outside of the recvWindow.'}, symbol=BTCUSDT"
"1/7/2026, 7:58:04.607 PM","autotraderbinance.azurecr.io/autotrader:a59cce33d9786d86c1157c05d08fa7128c051f84",autotrader,"autotrader--0000053","2026-01-07 19:58:03 - llmtrader.live - ERROR - 에러 | type=ACCOUNT_UPDATE_ERROR, message=Failed to update account info: Binance API error: 400 GET /fapi/v2/account | payload={'code': -1021, 'msg': 'Timestamp for this request is outside of the recvWindow.'}, symbol=BTCUSDT"
"1/5/2026, 8:10:38.492 PM","autotraderbinance.azurecr.io/autotrader:a59cce33d9786d86c1157c05d08fa7128c051f84",autotrader,"autotrader--0000053","2026-01-05 20:10:37 - llmtrader.live - ERROR - 에러 | type=ACCOUNT_UPDATE_ERROR, message=Failed to update account info: Binance API error: 400 GET /fapi/v2/account | payload={'code': -1021, 'msg': 'Timestamp for this request is outside of the recvWindow.'}, symbol=BTCUSDT"
"1/5/2026, 5:41:07.912 PM","autotraderbinance.azurecr.io/autotrader:a59cce33d9786d86c1157c05d08fa7128c051f84",autotrader,"autotrader--0000053","2026-01-05 17:41:07 - llmtrader.live - ERROR - 에러 | type=STRATEGY_ERROR, message='LiveContext' object has no attribute 'close_position_at_price', symbol=BTCUSDT | {'is_tick': True}"
"1/5/2026, 10:27:37.801 PM","autotraderbinance.azurecr.io/autotrader:a59cce33d9786d86c1157c05d08fa7128c051f84",autotrader,"autotrader--0000053","2026-01-05 22:27:36 - llmtrader.live - ERROR - 에러 | type=ACCOUNT_UPDATE_ERROR, message=Failed to update account info: Binance API error: 400 GET /fapi/v2/account | payload={'code': -1021, 'msg': 'Timestamp for this request is outside of the recvWindow.'}, symbol=BTCUSDT"
"1/8/2026, 12:08:05.604 AM","autotraderbinance.azurecr.io/autotrader:a59cce33d9786d86c1157c05d08fa7128c051f84",autotrader,"autotrader--0000053","2026-01-08 00:08:04 - llmtrader.live - ERROR - 에러 | type=ACCOUNT_UPDATE_ERROR, message=Failed to update account info: Binance API error: 400 GET /fapi/v2/account | payload={'code': -1021, 'msg': 'Timestamp for this request is outside of the recvWindow.'}, symbol=BTCUSDT"
"1/8/2026, 2:54:27.652 AM","autotraderbinance.azurecr.io/autotrader:a59cce33d9786d86c1157c05d08fa7128c051f84",autotrader,"autotrader--0000053","2026-01-08 02:54:26 - llmtrader.live - ERROR - 에러 | type=ACCOUNT_UPDATE_ERROR, message=Failed to update account info: Binance API error: 400 GET /fapi/v2/account | payload={'code': -1021, 'msg': 'Timestamp for this request is outside of the recvWindow.'}, symbol=BTCUSDT"
"1/8/2026, 3:00:33.631 AM","autotraderbinance.azurecr.io/autotrader:a59cce33d9786d86c1157c05d08fa7128c051f84",autotrader,"autotrader--0000053","2026-01-08 03:00:32 - llmtrader.live - ERROR - 에러 | type=ACCOUNT_UPDATE_ERROR, message=Failed to update account info: Binance API error: 400 GET /fapi/v2/account | payload={'code': -1021, 'msg': 'Timestamp for this request is outside of the recvWindow.'}, symbol=BTCUSDT"
"1/8/2026, 4:03:07.799 AM","autotraderbinance.azurecr.io/autotrader:a59cce33d9786d86c1157c05d08fa7128c051f84",autotrader,"autotrader--0000053","2026-01-08 04:03:06 - llmtrader.live - ERROR - 에러 | type=ACCOUNT_UPDATE_ERROR, message=Failed to update account info: Binance API error: 400 GET /fapi/v2/account | payload={'code': -1021, 'msg': 'Timestamp for this request is outside of the recvWindow.'}, symbol=BTCUSDT"
"1/8/2026, 6:12:09.889 AM","autotraderbinance.azurecr.io/autotrader:a59cce33d9786d86c1157c05d08fa7128c051f84",autotrader,"autotrader--0000053","2026-01-08 06:12:08 - llmtrader.live - ERROR - 에러 | type=ACCOUNT_UPDATE_ERROR, message=Failed to update account info: Binance API error: 418 GET /fapi/v2/account | IP banned until 2026-01-08T06:19:59.039000, symbol=BTCUSDT"
"1/8/2026, 6:17:26.933 AM","autotraderbinance.azurecr.io/autotrader:a59cce33d9786d86c1157c05d08fa7128c051f84",autotrader,"autotrader--0000053","2026-01-08 06:17:25 - llmtrader.live - ERROR - 에러 | type=ACCOUNT_UPDATE_ERROR, message=Failed to update account info: Binance API error: 400 GET /fapi/v2/account | payload={'code': -1021, 'msg': 'Timestamp for this request is outside of the recvWindow.'}, symbol=BTCUSDT"
"1/8/2026, 6:32:58.715 AM","autotraderbinance.azurecr.io/autotrader:a59cce33d9786d86c1157c05d08fa7128c051f84",autotrader,"autotrader--0000053","2026-01-08 06:32:57 - llmtrader.live - ERROR - 에러 | type=ACCOUNT_UPDATE_ERROR, message=Failed to update account info: Binance API error: 429 GET /fapi/v2/account | payload={'code': -1003, 'msg': 'Too many requests; current limit of IP(130.176.187.104) is 6000 requests per minute. Please use the websocket for live updates to avoid polling the API.'}, symbol=BTCUSDT"
"1/8/2026, 6:05:00.922 AM","autotraderbinance.azurecr.io/autotrader:a59cce33d9786d86c1157c05d08fa7128c051f84",autotrader,"autotrader--0000053","2026-01-08 06:04:59 - llmtrader.live - ERROR - 에러 | type=ACCOUNT_UPDATE_ERROR, message=Failed to update account info: Binance API error: 400 GET /fapi/v2/account | payload={'code': -1021, 'msg': 'Timestamp for this request is outside of the recvWindow.'}, symbol=BTCUSDT"
"1/8/2026, 6:06:01.610 AM","autotraderbinance.azurecr.io/autotrader:a59cce33d9786d86c1157c05d08fa7128c051f84",autotrader,"autotrader--0000053","2026-01-08 06:06:00 - llmtrader.live - ERROR - 에러 | type=ACCOUNT_UPDATE_ERROR, message=Failed to update account info: Binance API error: 418 GET /fapi/v2/account | IP banned until 2026-01-08T06:19:59.039000, symbol=BTCUSDT"
"1/6/2026, 1:10:39.607 AM","autotraderbinance.azurecr.io/autotrader:a59cce33d9786d86c1157c05d08fa7128c051f84",autotrader,"autotrader--0000053","2026-01-06 01:10:38 - llmtrader.live - ERROR - 에러 | type=ACCOUNT_UPDATE_ERROR, message=Failed to update account info: Binance API error: 400 GET /fapi/v2/account | payload={'code': -1021, 'msg': 'Timestamp for this request is outside of the recvWindow.'}, symbol=BTCUSDT"
"1/6/2026, 12:15:18.187 AM","autotraderbinance.azurecr.io/autotrader:a59cce33d9786d86c1157c05d08fa7128c051f84",autotrader,"autotrader--0000053","2026-01-06 00:15:16 - llmtrader.live - ERROR - 에러 | type=ACCOUNT_UPDATE_ERROR, message=Failed to update account info: Binance API error: 400 GET /fapi/v2/account | payload={'code': -1021, 'msg': 'Timestamp for this request is outside of the recvWindow.'}, symbol=BTCUSDT"
"1/6/2026, 2:20:04.795 AM","autotraderbinance.azurecr.io/autotrader:a59cce33d9786d86c1157c05d08fa7128c051f84",autotrader,"autotrader--0000053","2026-01-06 02:20:03 - llmtrader.live - ERROR - 에러 | type=ACCOUNT_UPDATE_ERROR, message=Failed to update account info: Binance API error: 400 GET /fapi/v2/account | payload={'code': -1021, 'msg': 'Timestamp for this request is outside of the recvWindow.'}, symbol=BTCUSDT"
"1/6/2026, 2:23:04.556 AM","autotraderbinance.azurecr.io/autotrader:a59cce33d9786d86c1157c05d08fa7128c051f84",autotrader,"autotrader--0000053","2026-01-06 02:23:03 - llmtrader.live - ERROR - 에러 | type=ACCOUNT_UPDATE_ERROR, message=Failed to update account info: Binance API error: 418 GET /fapi/v2/account | IP banned until 2026-01-06T02:29:56.127000, symbol=BTCUSDT"
"1/6/2026, 1:17:42.572 AM","autotraderbinance.azurecr.io/autotrader:a59cce33d9786d86c1157c05d08fa7128c051f84",autotrader,"autotrader--0000053","2026-01-06 01:17:41 - llmtrader.live - ERROR - 에러 | type=ACCOUNT_UPDATE_ERROR, message=Failed to update account info: Binance API error: 418 GET /fapi/v2/account | IP banned until 2026-01-06T01:27:58.213000, symbol=BTCUSDT"
"1/6/2026, 1:17:42.572 AM","autotraderbinance.azurecr.io/autotrader:a59cce33d9786d86c1157c05d08fa7128c051f84",autotrader,"autotrader--0000053","2026-01-06 01:17:41 - llmtrader.live - ERROR - 에러 | type=ACCOUNT_UPDATE_ERROR, message=Failed to update account info: Binance API error: 400 GET /fapi/v2/account | payload={'code': -1021, 'msg': 'Timestamp for this request is outside of the recvWindow.'}, symbol=BTCUSDT"
"1/6/2026, 2:21:04.741 AM","autotraderbinance.azurecr.io/autotrader:a59cce33d9786d86c1157c05d08fa7128c051f84",autotrader,"autotrader--0000053","2026-01-06 02:21:03 - llmtrader.live - ERROR - 에러 | type=ACCOUNT_UPDATE_ERROR, message=Failed to update account info: Binance API error: 400 GET /fapi/v2/account | payload={'code': -1021, 'msg': 'Timestamp for this request is outside of the recvWindow.'}, symbol=BTCUSDT"
"1/6/2026, 8:55:52.634 AM","autotraderbinance.azurecr.io/autotrader:a59cce33d9786d86c1157c05d08fa7128c051f84",autotrader,"autotrader--0000053","2026-01-06 08:55:51 - llmtrader.live - ERROR - 에러 | type=ACCOUNT_UPDATE_ERROR, message=Failed to update account info: Binance API error: 400 GET /fapi/v2/account | payload={'code': -1021, 'msg': 'Timestamp for this request is outside of the recvWindow.'}, symbol=BTCUSDT"
"1/6/2026, 9:03:55.647 AM","autotraderbinance.azurecr.io/autotrader:a59cce33d9786d86c1157c05d08fa7128c051f84",autotrader,"autotrader--0000053","2026-01-06 09:03:54 - llmtrader.live - ERROR - 에러 | type=ACCOUNT_UPDATE_ERROR, message=Failed to update account info: Binance API error: 400 GET /fapi/v2/account | payload={'code': -1021, 'msg': 'Timestamp for this request is outside of the recvWindow.'}, symbol=BTCUSDT"
"1/6/2026, 1:31:43.858 PM","autotraderbinance.azurecr.io/autotrader:a59cce33d9786d86c1157c05d08fa7128c051f84",autotrader,"autotrader--0000053","2026-01-06 13:31:42 - llmtrader.live - ERROR - 에러 | type=ACCOUNT_UPDATE_ERROR, message=Failed to update account info: Binance API error: 400 GET /fapi/v2/account | payload={'code': -1021, 'msg': 'Timestamp for this request is outside of the recvWindow.'}, symbol=BTCUSDT"
"1/6/2026, 1:33:45.364 PM","autotraderbinance.azurecr.io/autotrader:a59cce33d9786d86c1157c05d08fa7128c051f84",autotrader,"autotrader--0000053","2026-01-06 13:33:43 - llmtrader.live - ERROR - 에러 | type=ACCOUNT_UPDATE_ERROR, message=Failed to update account info: Binance API error: 400 GET /fapi/v2/account | payload={'code': -1021, 'msg': 'Timestamp for this request is outside of the recvWindow.'}, symbol=BTCUSDT"
"1/6/2026, 1:25:41.595 PM","autotraderbinance.azurecr.io/autotrader:a59cce33d9786d86c1157c05d08fa7128c051f84",autotrader,"autotrader--0000053","2026-01-06 13:25:40 - llmtrader.live - ERROR - 에러 | type=ACCOUNT_UPDATE_ERROR, message=Failed to update account info: Binance API error: 400 GET /fapi/v2/account | payload={'code': -1021, 'msg': 'Timestamp for this request is outside of the recvWindow.'}, symbol=BTCUSDT"
"1/6/2026, 5:14:57.681 PM","autotraderbinance.azurecr.io/autotrader:a59cce33d9786d86c1157c05d08fa7128c051f84",autotrader,"autotrader--0000053","2026-01-06 17:14:56 - llmtrader.live - ERROR - 에러 | type=ACCOUNT_UPDATE_ERROR, message=Failed to update account info: Binance API error: 400 GET /fapi/v2/account | payload={'code': -1021, 'msg': 'Timestamp for this request is outside of the recvWindow.'}, symbol=BTCUSDT"
"1/6/2026, 7:07:32.567 PM","autotraderbinance.azurecr.io/autotrader:a59cce33d9786d86c1157c05d08fa7128c051f84",autotrader,"autotrader--0000053","2026-01-06 19:07:32 - llmtrader.live - ERROR - 에러 | type=ACCOUNT_UPDATE_ERROR, message=Failed to update account info: Binance API error: 418 GET /fapi/v2/account | IP banned until 2026-01-06T19:20:57.418000, symbol=BTCUSDT"
"1/6/2026, 7:08:33.823 PM","autotraderbinance.azurecr.io/autotrader:a59cce33d9786d86c1157c05d08fa7128c051f84",autotrader,"autotrader--0000053","2026-01-06 19:08:32 - llmtrader.live - ERROR - 에러 | type=ACCOUNT_UPDATE_ERROR, message=Failed to update account info: Binance API error: 418 GET /fapi/v2/account | IP banned until 2026-01-06T19:22:57.496000, symbol=BTCUSDT"
